epoch,accuracy,loss,val_accuracy,val_loss
0,0.33379462361335754,1.3428703546524048,0.3832853138446808,1.2783005237579346
1,0.6490451097488403,0.9700689315795898,0.6685879230499268,0.8373358845710754
2,0.7907556295394897,0.5753969550132751,0.7089337110519409,0.7473942041397095
3,0.8347633481025696,0.45647379755973816,0.7031700015068054,0.7443466782569885
4,0.8461112380027771,0.4000341594219208,0.7060518860816956,0.7788842916488647
5,0.8665928840637207,0.35715141892433167,0.680115282535553,0.8013755083084106
6,0.8776639699935913,0.3190464675426483,0.6743515729904175,0.844663143157959
7,0.8920564651489258,0.29159674048423767,0.6887608170509338,0.8793137073516846
8,0.9089399576187134,0.2583957016468048,0.6714697480201721,0.9185748100280762
9,0.9180735945701599,0.22956255078315735,0.6743515729904175,0.9607024788856506
10,0.9316357374191284,0.20338618755340576,0.6714697480201721,1.0041159391403198
11,0.9429836869239807,0.179141104221344,0.6685879230499268,1.0659503936767578
12,0.950179934501648,0.1584114134311676,0.6685879230499268,1.11580228805542
13,0.9637420177459717,0.13582080602645874,0.6772334575653076,1.1581825017929077
14,0.9631884694099426,0.12259171158075333,0.6772334575653076,1.2202436923980713
15,0.9723221659660339,0.1028650775551796,0.6772334575653076,1.2608643770217896
16,0.971491813659668,0.09461089223623276,0.6743515729904175,1.3208496570587158
17,0.9739828109741211,0.08623357117176056,0.6657060384750366,1.3762668371200562
18,0.9773041605949402,0.07768499851226807,0.6772334575653076,1.380224347114563
19,0.9761970639228821,0.07014568150043488,0.6570605039596558,1.4746226072311401
20,0.9784113168716431,0.06538183242082596,0.6714697480201721,1.4729818105697632
21,0.9781345129013062,0.06418190151453018,0.6599423885345459,1.5022437572479248
22,0.9775809645652771,0.06093168258666992,0.6743515729904175,1.5286263227462769
23,0.9789648652076721,0.058007530868053436,0.6657060384750366,1.5698423385620117
24,0.9781345129013062,0.057086698710918427,0.6772334575653076,1.5676144361495972
